"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,20.000000000000007,0,0
1,1,2,0,20.000000000000007,0,0
1,1,3,0,20.000000000000007,0,-0
1,1,4,0,20.000000000000007,0,-0
1,1,5,0,20.000000000000007,0,-0
1,1,6,0,20.000000000000007,0,-0
1,1,7,0,20.000000000000007,0,0
1,1,8,0,20.000000000000007,0,-0
1,1,9,0,20.000000000000007,0,0
1,1,10,0,20.000000000000007,0,-0
1,1,11,0,20.000000000000007,0,-0
1,1,12,20,40,0,0
1,1,13,20,40,0,0
1,1,14,20,40,0,0
1,1,15,20,40,0,0
1,1,16,0,20.000000000000007,0,-0
1,1,17,0,20.000000000000007,0,0
1,1,18,0,20.000000000000007,0,0
1,1,19,0,0,0,-17.439077144917093
1,1,20,0,0,0,-146.03085796683493
1,1,21,0,0,0,-17.439077144917093
1,1,22,0,0,0,-17.439077144917093
1,1,23,0,14.271232876712292,0,-3.167844268204798
1,1,24,0,20.000000000000004,0,0
